dato;stop_name;tid;faktisk_tid;avstand;min_tid;ko_min_km;Forsinkelser
22.10.2025;BŒtst¿;Morgen;10,5;8,7;8,3;0,25;0,71
23.10.2025;BŒtst¿;Morgen;10,3;8,7;8,3;0,23;0
24.10.2025;BŒtst¿;Morgen;10,5;8,7;8,3;0,26;0,94
27.10.2025;BŒtst¿;Morgen;10,4;8,7;8,3;0,24;0,56
28.10.2025;BŒtst¿;Morgen;10,6;8,7;8,3;0,27;0,12
29.10.2025;BŒtst¿;Morgen;10,5;8,7;8,3;0,25;0,91
30.10.2025;BŒtst¿;Morgen;10,4;8,7;8,3;0,24;0,53
31.10.2025;BŒtst¿;Morgen;10,2;8,7;8,3;0,22;0,87
26.11.2025;BŒtst¿;Morgen;10,5;8,7;8,3;0,26;0,52
27.11.2025;BŒtst¿;Morgen;10,6;8,7;8,3;0,27;0,82
28.11.2025;BŒtst¿;Morgen;10,6;8,7;8,3;0,26;0,01
01.12.2025;BŒtst¿;Morgen;10,6;8,7;8,3;0,27;0,92
02.12.2025;BŒtst¿;Morgen;10,5;8,7;8,3;0,26;0,97
03.12.2025;BŒtst¿;Morgen;10,6;8,7;8,3;0,27;0,27
16.10.2025;Dalb¿;Morgen;1,7;1,8;1,8;-0,05;0,01
17.10.2025;Dalb¿;Morgen;2,7;1,8;1,8;0,47;0,47
20.10.2025;Dalb¿;Morgen;2,7;1,8;1,8;0,49;0,29
21.10.2025;Dalb¿;Morgen;3;1,8;1,8;0,68;0,42
22.10.2025;Dalb¿;Morgen;2,6;1,8;1,8;0,44;0,86
23.10.2025;Dalb¿;Morgen;2,4;1,8;1,8;0,34;0,52
24.10.2025;Dalb¿;Morgen;2,6;1,8;1,8;0,44;0,64
27.10.2025;Dalb¿;Morgen;2,4;1,8;1,8;0,31;0,97
